PLR,Packet Loss Rate
PMA,Pressurized Mating Adapter
PMA2,
PMA3,
PMM,Permanent Multipurpose Module
PNP,Probability of No Penetration
POA,Payload Orbital replacement unit Accommodation
POL,Point of Load
POWER,
PP,
PRINTED,
PROVIDE,
PTCS,Passive Thermal Control System
PUB,
PULSE,
PV,Photovoltaic
PVGF,Power and Video Grapple Fixture
QUALITY,
R&R,Repair & Replace
R-116,
R-14,
R-508A,
R-508B,
RADIO,
RATING,
RCS,Reaction Control System
RE-USE,
RECEIVE,
REF,Reference
REID,Risk of Exposure-Induced Death
REMOTE,
REMOVAL,
REV,Revision
RF,Radio Frequency
RH,Relative Humidity
RMS,Root Mean Square
RPCM,Remote Power Control Module
RPOC,"Rendezvous, Proximity Operations and Capture"
RPODU,"Rendezvous, Proximity Operations, Docking, and Undocking"
RSS,Root-Sum-Square
Radio-F,
S-B,
S20.20,
SAS,Space Adaptation Syndrome
SCC,Space Components Coordination
SCFM,Standard Cubic Feet per Minute
SEE,Single Event Effects
SEG,
SEL,Single Event Latchup
SEU,Single Event Upset
SI,International System of Units
SIGNAL,
SILVER,
SM,Service Module
SMAC,Spacecraft Maximum Allowable Concentrations
SN,
SOLAR,
SOUND,
SP,
SPACE,
SPDM,Special Purpose Dexterous Manipulator
SPE,Solar Particle Effect
SPECTRA,
SPL,Sound Pressure Level
SRS,Shock Response Spectrum
SSP,Space Station Program
SSQ,
SSRMS,Space Station Remote Manipulator System
SSSR,Space to Space Station Radio
STAKING,
STATION,
STUB,
SUPPORT,
SW,Software
SYSTEM,
Stay-O,
TBD,To Be Determined
TBR,To Be Resolved
TBS,To Be Supplied
TCCS,Trace Contaminant Control Subassembly
TCP,Transmission Control Protocol
TCS,Thermal Control System
TDMA,Time Division Multiple Access
TH,
THE,
THERMAL,
THIS,
TIME,
TIU,Terminal Interface Unit
TLV,Threshold Limit Value
TO,
TOTAL,
TR,
TRRJ,Thermal Radiator Rotary Joint
U.S,United States
UDP,User Datagram Protocol
UHF,Ultra High Frequency
ULTRA,
UNIT,
UNITS,
UPON,
USE,
USOS,United States on Orbit Segment
UV,Ultra Violet
Un-C,
V2,
VDC,Volts Direct Current
VEHICLE,
VI,
VM,Virtual Machine
VOLTAGE,
VSWR,Voltage Standing Wave Radio
VUV,Very Ultra Violet
VV,Visiting Vehicle
Vibro-A,
WARNING,
WINDOWS,
WIRE,
WIRING,
WITH,
WITHOUT,
WRAPPED,
WRS,Water Recovery System
Wi-F,
XII,
XLIX,
XVV,X in the Velocity Vector
Y-Z,
Z-A,
Z136.1,
